t_ms,apps1_pct,apps2_pct,pedal_pct,desired_torque_nm,power_kw,speed_mph,glv_voltage_v,inverter_temp_c,motor_temp_c,soc_pct,battery_temp_c,bms_flags_hex,bms_fault_code,imd_warn_alarms_hex,pm100_post_faults_hex,pm100_run_faults_hex,fan_duty_pct,rtd_state
3271,4.0,5.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,20,FAULT_BLOCKED
3371,4.0,5.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0x00,0,0x0200,0x00000000,0x00000000,20,FAULT_BLOCKED
3471,4.1,5.6,0.0,0.0,0.0,0,12.09,42.1,49.2,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3571,4.1,5.6,0.0,0.0,0.0,0,11.82,43.4,49.2,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3671,4.1,5.6,0.0,0.0,0.0,0,11.84,44.8,49.1,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3771,4.1,5.6,0.0,0.0,0.0,0,11.79,45.9,49.1,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3871,4.2,5.6,0.0,0.0,0.0,0,11.81,46.4,49.1,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3971,4.1,5.6,0.0,0.0,0.0,0,11.87,46.4,49.2,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4071,4.1,5.6,0.0,0.0,0.0,0,11.87,46.4,49.1,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4171,4.1,5.6,0.0,0.0,0.0,0,11.89,46.9,49.3,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4271,4.1,5.6,0.0,0.0,0.0,0,11.98,46.9,49.3,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4371,4.1,5.6,0.0,0.0,0.0,0,11.87,46.9,49.1,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4471,4.1,5.6,0.0,0.0,0.0,0,11.85,46.9,49.2,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4571,4.0,5.6,0.0,0.0,0.0,0,12.14,46.9,49.2,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4671,4.0,5.6,0.0,0.0,0.0,0,11.92,46.9,49.1,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4771,4.1,5.6,0.0,0.0,0.0,0,11.85,46.9,48.9,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4871,4.1,5.6,0.0,0.0,0.0,0,11.93,46.9,49.2,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
4971,4.1,5.6,0.0,0.0,0.0,0,11.89,46.9,49.3,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5071,4.1,5.6,0.0,0.0,0.0,0,12.02,46.9,49.2,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5171,4.1,5.7,0.0,0.0,0.0,0,11.96,46.9,49.3,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5271,4.1,5.7,0.0,0.0,0.0,0,11.95,46.9,49.2,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5371,4.1,5.6,0.0,0.0,0.0,0,11.95,46.9,48.9,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5471,4.1,5.6,0.0,0.0,0.0,0,12.02,46.9,49.1,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5571,4.1,5.6,0.0,0.0,0.0,0,12.07,46.9,49.1,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5671,4.1,5.6,0.0,0.0,0.0,0,11.89,47.0,49.2,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5771,4.1,5.6,0.0,0.0,0.0,0,11.88,46.9,48.9,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5871,4.1,5.6,0.0,0.0,0.0,0,11.9,46.9,49.2,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5971,4.1,5.6,0.0,0.0,0.0,0,11.89,46.9,49.2,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6071,4.1,5.6,0.0,0.0,0.0,0,11.85,46.9,49.2,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6171,4.1,5.6,0.0,0.0,0.0,0,11.9,46.9,49.1,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6271,4.1,5.6,0.0,0.0,0.0,0,11.87,46.9,49.1,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6371,4.1,5.6,0.0,0.0,0.0,0,11.9,46.9,49.1,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6471,4.1,5.6,0.0,0.0,0.0,0,11.9,46.9,49.1,50,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6571,4.0,5.6,0.0,0.0,0.0,0,11.94,46.9,49.1,50,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6671,4.1,5.6,0.0,0.0,0.0,0,11.91,46.9,49.3,50,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6771,4.0,5.6,0.0,0.0,0.0,0,12.13,46.9,48.9,50,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6871,4.1,5.7,0.0,0.0,0.0,0,11.92,46.9,48.9,50,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6971,4.1,5.6,0.0,0.0,0.0,0,11.9,46.9,49.1,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7071,4.1,5.6,0.0,0.0,0.0,0,12.03,46.9,49.2,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7171,4.1,5.6,0.0,0.0,0.0,0,11.92,46.9,49.2,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7271,4.1,5.6,0.0,0.0,0.0,0,11.91,46.9,49.1,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7371,4.1,5.6,0.0,0.0,0.0,0,12.05,46.9,49.1,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7471,4.1,5.6,0.0,0.0,0.0,0,11.92,46.9,49.1,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7571,4.1,5.6,0.0,0.0,0.0,0,11.91,46.9,48.9,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7671,4.1,5.6,0.0,0.0,0.0,0,11.91,46.9,49.2,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7771,4.1,5.6,0.0,0.0,0.0,0,11.91,46.9,49.3,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7871,4.1,5.6,0.0,0.0,0.0,0,12.04,46.9,49.1,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7971,4.1,5.6,0.0,0.0,0.0,0,11.93,46.9,48.9,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8071,4.1,5.6,0.0,0.0,0.0,0,11.88,46.9,49.3,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8171,4.1,5.6,0.0,0.0,0.0,0,11.88,46.9,49.2,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8271,4.1,5.6,0.0,0.0,0.0,0,11.88,46.9,49.2,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8372,4.2,5.6,0.0,0.0,0.0,0,12.26,46.9,48.9,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8472,4.1,5.6,0.0,0.0,0.0,0,12.26,46.9,48.9,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8572,4.1,5.6,0.0,0.0,0.0,0,11.87,46.9,48.9,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8672,4.1,5.6,0.0,0.0,0.0,0,11.96,46.9,49.1,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8772,4.1,5.6,0.0,0.0,0.0,0,11.93,46.9,49.1,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8872,4.1,5.6,0.0,0.0,0.0,0,11.94,46.9,49.1,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8972,4.1,5.6,0.0,0.0,0.0,0,11.92,46.9,49.2,37,37,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
