t_ms,min_cell_mv,max_cell_mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
3272,0,0,0,-1000,-1000,-1000,65535,0,0,0,0
4272,0,0,0,-1000,-1000,-1000,4868,252,0,0,1
5272,0,0,0,-1000,-1000,-1000,8699,252,0,0,1
6272,0,0,0,-1000,-1000,-1000,10674,252,0,0,1
7272,3766,3785,3779,36,37,36,2013,252,1,1,1
8272,3766,3784,3779,36,37,36,4089,252,1,1,1
9272,3766,3784,3779,36,37,36,4453,252,1,1,1
10272,3766,3785,3779,36,37,36,4639,252,1,1,1
11272,3765,3784,3779,36,37,36,14824,252,1,1,1
12272,3766,3784,3779,36,37,36,8477,252,1,1,1
13272,3766,3784,3779,36,37,36,3161,252,1,1,1
14272,3766,3784,3779,36,37,36,3276,252,1,1,1
15272,3766,3784,3779,36,37,36,3928,252,1,1,1
16272,3766,3784,3779,36,37,36,5062,252,1,1,1
17272,3766,3784,3779,36,37,36,5553,252,1,1,1
18272,3766,3785,3779,36,37,36,6579,252,1,1,1
19272,3766,3785,3779,36,37,36,6957,252,1,1,1
20272,3766,3785,3779,36,37,36,7438,252,1,1,1
21272,3766,3785,3779,36,37,36,7301,252,1,1,1
22272,3766,3784,3779,36,37,36,9606,253,1,1,1
23272,3766,3784,3779,36,37,36,9606,253,1,1,1
24272,3766,3784,3779,36,37,36,9606,253,1,1,1
25272,3766,3784,3779,36,37,36,9606,253,1,1,1
26272,3766,3784,3779,36,37,36,9606,253,1,1,1
27272,3766,3785,3779,35,37,36,9606,253,1,1,1
28272,3766,3784,3779,35,37,36,9606,253,1,1,1
29272,3765,3784,3779,35,37,36,9606,253,1,1,1
30272,3766,3785,3779,35,37,36,9606,253,1,1,1
31272,3766,3785,3779,35,37,36,9606,253,1,1,1
32272,3766,3785,3779,35,37,36,9606,253,1,1,1
33272,3766,3785,3779,35,37,36,9606,253,1,1,1
34272,3766,3785,3779,35,37,36,9606,253,1,1,1
35272,3766,3785,3779,35,37,36,9606,253,1,1,1
36274,3766,3785,3779,35,37,36,9606,253,1,1,1
37275,3763,3781,3776,35,37,36,9606,253,1,1,1
38275,3757,3776,3771,35,37,36,9606,253,1,1,1
39276,3742,3760,3755,35,37,36,9606,253,1,1,1
40278,3734,3752,3747,35,37,36,9606,253,1,1,1
41281,3640,3660,3654,35,37,36,9606,253,1,1,1
42290,3563,3584,3576,35,37,36,9606,253,1,1,1
43290,3563,3584,3576,35,37,36,9606,253,1,1,1
44290,3563,3584,3576,35,37,36,9606,253,1,1,1
45292,3563,3584,3576,35,37,36,9606,253,1,1,1
46292,3563,3584,3576,35,37,36,9606,253,1,1,1
