t_ms,min_cell_mv,max_cell_mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
4192,0,0,0,-1000,-1000,-1000,65535,0,0,0,0
5192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
6192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
7192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
8192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
9192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
10192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
11192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
12192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
13192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
14192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
15192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
16192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
17192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
18192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
19192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
20192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
21192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
22192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
23192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
24192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
25192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
26192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
27192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
28192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
29192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
30192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
31192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
32192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
33192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
34192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
35192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
36192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
37192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
38192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
39192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
40192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
41192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
42192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
43192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
44192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
45192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
46192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
47192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
48192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
49192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
50192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
51192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
52192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
53192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
54192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
55192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
56192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
57192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
58192,0,0,0,-1000,-1000,-1000,65535,0,0,0,1
