t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
3273,0.2607,-0.0509,0.8691,-6.15,7.47,-0.03,24.29
3283,0.241,-0.0516,0.8881,-6.15,6.4,-0.02,24.3
3293,0.2289,-0.051,0.8832,-6.2,8.84,0.02,24.29
3303,0.2361,-0.0452,0.877,-6.2,7.74,0.02,24.29
3313,0.2321,-0.0446,0.8832,-6.18,7.62,0.0,24.31
3323,0.2245,-0.0444,0.894,-6.09,8.31,-0.06,24.35
3333,0.234,-0.0438,0.8805,-6.23,8.5,-0.06,24.3
3343,0.2485,-0.0487,0.8706,-6.14,6.49,-0.09,24.31
3353,0.2122,-0.0557,0.9022,-6.11,7.86,-0.11,24.3
3363,0.2325,-0.0562,0.8746,-6.15,8.99,-0.08,24.31
3373,0.2496,-0.0527,0.8558,-6.08,6.43,0.0,24.31
3383,0.2328,-0.0587,0.8802,-6.08,6.9,-0.11,24.32
3393,0.2416,-0.0469,0.8777,-6.15,8.12,0.0,24.31
3403,0.2451,-0.0397,0.8765,-6.27,7.44,-0.09,24.29
3413,0.2439,-0.0431,0.8759,-6.27,6.96,-0.14,24.3
3423,0.231,-0.0474,0.8915,-6.17,7.34,-0.14,24.31
3433,0.234,-0.0465,0.9016,-6.17,8.14,-0.09,24.33
3443,0.2343,-0.0483,0.9032,-6.2,8.37,-0.15,24.3
3453,0.2322,-0.0562,0.8947,-6.15,8.96,-0.12,24.33
3463,0.2487,-0.0569,0.8679,-6.06,8.26,-0.18,24.32
3473,0.2462,-0.053,0.8646,-6.02,6.9,-0.17,24.29
3483,0.2343,-0.0486,0.8713,-5.97,6.78,-0.23,24.36
3493,0.2074,-0.0468,0.8914,-6.15,8.11,-0.32,24.32
3503,0.2283,-0.0458,0.8743,-6.14,9.45,-0.37,24.32
3513,0.2557,-0.0356,0.8645,-6.29,6.26,-0.26,24.32
3523,0.2439,-0.0397,0.902,-6.15,6.23,-0.37,24.32
3533,0.225,-0.0505,0.9139,-6.34,8.27,-0.47,24.35
