t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
3282,0.1451,-0.6066,0.6902,-6.44,7.05,0.41,21.72
3293,0.1464,-0.6127,0.6876,-6.58,7.85,0.55,21.7
3303,0.1454,-0.6071,0.6816,-6.73,8.38,0.64,21.67
3313,0.1406,-0.6118,0.6793,-7.1,8.75,0.64,21.72
3323,0.1392,-0.62,0.689,-7.59,8.84,0.73,21.71
3333,0.1362,-0.6157,0.6868,-7.62,7.94,0.85,21.7
3343,0.1344,-0.6184,0.6863,-7.16,7.54,0.85,21.71
3353,0.1329,-0.6124,0.6943,-6.47,6.78,0.72,21.7
3363,0.1353,-0.6146,0.688,-6.12,6.49,0.63,21.7
3373,0.1302,-0.6143,0.6968,-5.57,6.37,0.41,21.7
3383,0.1487,-0.6182,0.6628,-5.59,6.21,0.24,21.72
3393,0.1432,-0.6198,0.6708,-5.97,6.82,0.37,21.7
3403,0.1345,-0.6047,0.6677,-6.11,7.53,0.29,21.72
3413,0.1241,-0.6134,0.6827,-6.31,7.97,0.23,21.72
3423,0.1276,-0.6163,0.6874,-6.56,8.15,-0.06,21.7
3433,0.1296,-0.6173,0.6903,-6.58,8.06,-0.2,21.72
3443,0.1348,-0.6127,0.6904,-6.41,8.38,-0.37,21.71
3453,0.1344,-0.6116,0.6895,-6.43,8.06,-0.49,21.75
3463,0.142,-0.615,0.6846,-6.23,7.47,-0.41,21.71
3473,0.1466,-0.6161,0.6831,-6.43,7.36,-0.24,21.71
3483,0.1388,-0.6172,0.6805,-6.78,7.51,0.18,21.71
3493,0.1361,-0.6097,0.6825,-7.16,7.62,0.21,21.73
3503,0.1345,-0.6133,0.6843,-7.28,8.26,0.08,21.74
3513,0.1407,-0.6156,0.6846,-7.31,8.82,0.0,21.71
3523,0.1448,-0.6188,0.696,-7.04,9.25,0.0,21.71
3533,0.1378,-0.6099,0.6898,-6.92,10.08,0.12,21.71
3543,0.1332,-0.6099,0.678,-7.02,10.66,0.18,21.73
3553,0.1262,-0.613,0.6818,-7.27,10.5,0.08,21.75
3563,0.1224,-0.6115,0.6919,-7.34,9.85,-0.18,21.74
