t_ms,raw_apps1,raw_apps2,raw_bse1,raw_bse2,raw_hv_current,commanded_torque_nm,motor_rpm,bus_voltage_v,bus_current_a,braking,hard_braking,bspc_active,apps_plausible,rtd_latched,drive_mode_d,bms_fault,imd_fault,pm100_fault,bms_timeout,imd_can_timeout,contactors_closed,bspd_gpio_ok,imd_gpio_ok,bms_gpio_ok
3280,2235,2225,668,857,1976,0.0,0,0.9,0.0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0
3290,2236,2226,666,856,1970,0.0,0,0.9,0.0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0
3300,2240,2226,664,855,1973,0.0,0,0.9,0.0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0
3310,2238,2226,663,854,1973,0.0,0,0.9,0.0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0
3320,2237,2226,661,852,1973,0.0,0,0.3,0.0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0
3330,2237,2226,659,850,1972,0.0,0,0.6,0.0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0
3340,2242,2226,655,848,1973,0.0,0,0.8,0.0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0
3350,2238,2225,651,847,1974,0.0,0,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3360,2239,2226,648,843,1975,0.0,0,0.6,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3370,2237,2226,648,843,1972,0.0,0,0.6,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3380,2239,2225,646,842,1972,0.0,0,0.6,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3390,2237,2225,643,840,1970,0.0,0,0.6,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3400,2239,2224,641,839,1971,0.0,0,0.6,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3410,2241,2226,640,838,1970,0.0,0,0.8,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3420,2239,2225,637,838,1971,0.0,0,0.1,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3430,2239,2226,637,836,1972,0.0,0,0.1,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3440,2238,2226,635,832,1971,0.0,0,0.6,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3450,2239,2227,633,835,1972,0.0,0,0.6,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3460,2237,2226,632,835,1970,0.0,0,0.9,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3470,2238,2226,634,833,1971,0.0,0,0.6,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3480,2240,2226,633,834,1971,0.0,0,0.6,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3490,2240,2225,632,832,1971,0.0,0,0.6,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3500,2240,2227,632,832,1970,0.0,0,0.8,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3510,2240,2226,630,832,1970,0.0,0,1.3,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3520,2238,2225,630,831,1970,0.0,0,0.8,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3530,2238,2226,628,831,1970,0.0,0,0.8,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3540,2239,2226,630,831,1969,0.0,0,0.8,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3550,2239,2226,629,829,1970,0.0,0,0.8,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3560,2238,2226,629,829,1972,0.0,0,0.8,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
3570,2239,2226,618,828,1973,0.0,0,0.8,0.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
