t_ms,min_cell_mv,max_cell_mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
3273,0,0,0,-1000,-1000,-1000,65535,0,0,0,0
4273,0,0,0,-1000,-1000,-1000,0,252,0,0,1
5273,0,0,0,-1000,-1000,-1000,7928,252,0,0,1
6273,0,0,0,-1000,-1000,-1000,10930,252,0,0,1
7273,4096,4112,4106,25,27,26,12743,252,1,1,1
8273,4097,4112,4106,25,27,26,13767,252,1,1,1
9273,4096,4112,4106,25,27,26,14008,252,1,1,1
10273,4097,4112,4106,25,27,26,18314,253,1,1,1
11273,4097,4112,4106,25,27,26,18314,253,1,1,1
12273,4096,4112,4106,25,27,26,18314,253,1,1,1
13273,4096,4112,4106,25,27,26,18314,253,1,1,1
14273,4096,4112,4106,25,27,26,18314,253,1,1,1
15273,4096,4112,4106,25,27,26,18314,253,1,1,1
16273,4096,4112,4106,25,27,26,18314,253,1,1,1
17273,4096,4112,4106,25,27,26,18314,253,1,1,1
18273,4097,4112,4106,25,27,26,18314,253,1,1,1
19273,4096,4112,4106,25,27,26,18314,253,1,1,1
20273,4096,4112,4106,25,27,26,18314,253,1,1,1
21273,4097,4112,4106,25,27,26,18314,253,1,1,1
22273,4096,4112,4106,25,27,26,18314,253,1,1,1
23273,4096,4112,4106,25,27,26,18314,253,1,1,1
24273,4096,4112,4106,25,27,26,18314,253,1,1,1
25273,4096,4112,4106,25,27,26,18314,253,1,1,1
26273,4096,4112,4106,25,27,26,18314,253,1,1,1
27273,4097,4112,4106,25,27,26,18314,253,1,1,1
28273,4097,4112,4106,25,27,26,18314,253,1,1,1
29273,4096,4112,4106,25,27,26,18314,253,1,1,1
30273,4096,4112,4106,25,27,26,18314,253,1,1,1
31273,4096,4112,4106,25,27,26,18314,253,1,1,1
32273,4096,4112,4106,25,27,26,18314,253,1,1,1
33273,4096,4112,4106,25,27,26,18314,253,1,1,1
34273,4096,4112,4106,25,27,26,18314,253,1,1,1
35273,4096,4112,4106,25,27,26,18314,253,1,1,1
36273,4096,4112,4106,25,27,26,18314,253,1,1,1
37273,4097,4112,4106,25,27,26,18314,253,1,1,1
38273,4097,4112,4106,25,27,26,18314,253,1,1,1
39273,4097,4112,4106,25,27,26,18314,253,1,1,1
40273,4097,4112,4106,25,27,26,18314,253,1,1,1
41273,4096,4112,4106,25,27,26,18314,253,1,1,1
42273,4096,4112,4106,25,27,26,18314,253,1,1,1
43273,4096,4112,4106,25,27,26,18314,253,1,1,1
44273,4096,4112,4106,25,27,26,18314,253,1,1,1
45273,4096,4112,4106,25,27,26,18314,253,1,1,1
46273,4096,4112,4106,25,27,26,18314,253,1,1,1
47273,4096,4112,4106,25,27,26,18314,253,1,1,1
48273,4097,4112,4106,25,27,26,18314,253,1,1,1
49273,4096,4112,4106,25,27,26,18314,253,1,1,1
50273,4096,4112,4106,25,27,26,18314,253,1,1,1
51273,4096,4112,4106,25,27,26,18314,253,1,1,1
52273,4096,4112,4106,25,27,26,18314,253,1,1,1
53273,4096,4112,4106,25,27,26,18314,253,1,1,1
54273,4096,4112,4106,25,27,26,18314,253,1,1,1
55273,4096,4112,4106,25,27,26,18314,253,1,1,1
56273,4096,4112,4106,25,27,26,18314,253,1,1,1
57273,4096,4112,4106,25,27,26,18314,253,1,1,1
58273,4096,4112,4106,25,27,26,18314,253,1,1,1
59273,4097,4112,4106,25,27,26,19247,253,1,1,1
60273,4096,4112,4106,25,27,26,19247,253,1,1,1
61273,4096,4112,4106,25,27,26,19247,253,1,1,1
62273,4095,4111,4105,25,27,26,19247,253,1,1,1
63273,4095,4111,4105,25,27,26,19247,253,1,1,1
64273,4095,4111,4105,25,27,26,19247,253,1,1,1
65273,4095,4111,4105,25,27,26,19247,253,1,1,1
66273,4095,4111,4105,25,27,26,19247,253,1,1,1
67273,4095,4111,4105,25,27,26,19247,253,1,1,1
68273,4095,4111,4105,25,27,26,19247,253,1,1,1
69273,4095,4111,4105,25,27,26,19247,253,1,1,1
70273,4095,4111,4105,25,27,26,19247,253,1,1,1
71273,4095,4111,4105,25,27,26,22633,253,1,1,1
72273,4095,4111,4105,25,27,26,22633,253,1,1,1
73277,4095,4111,4105,25,27,26,22633,253,1,1,1
74277,4095,4111,4105,25,27,26,22633,253,1,1,1
75277,4095,4111,4105,25,27,26,22633,253,1,1,1
76277,4095,4111,4105,25,27,26,22633,253,1,1,1
77277,4087,4102,4096,25,27,26,22633,253,1,1,1
78277,4087,4102,4096,25,27,26,22633,253,1,1,1
79277,4076,4092,4086,25,27,26,22633,253,1,1,1
80279,4073,4088,4083,25,27,26,22633,253,1,1,1
81279,4068,4083,4078,25,27,26,26478,253,1,1,1
82279,4053,4069,4063,25,27,26,26478,253,1,1,1
83282,4053,4069,4063,25,27,26,26478,253,1,1,1
84282,4053,4069,4063,25,27,26,26478,253,1,1,1
85284,4053,4069,4063,25,27,26,26478,253,1,1,1
86298,4053,4069,4063,25,27,26,26478,253,1,1,1
87298,4040,4055,4050,25,27,26,26478,253,1,1,1
88310,4044,4058,4053,25,27,26,26478,253,1,1,1
89310,4027,4041,4036,25,27,26,26478,253,1,1,1
90310,4033,4047,4042,25,27,26,26478,253,1,1,1
91310,4075,4090,4084,25,27,26,26478,253,1,1,1
92310,4083,4098,4092,25,27,26,29879,253,1,1,1
93310,4083,4098,4092,25,27,26,29879,253,1,1,1
94311,4083,4098,4092,25,27,26,29879,253,1,1,1
95311,4083,4098,4092,25,27,26,29879,253,1,1,1
96312,4083,4098,4092,25,27,26,29879,253,1,1,1
97312,4086,4100,4095,25,27,26,29879,253,1,1,1
98312,4084,4098,4093,25,27,26,29879,253,1,1,1
99312,4079,4094,4089,25,27,26,29879,253,1,1,1
100312,4074,4089,4083,25,27,26,29879,253,1,1,1
101312,4072,4087,4081,25,27,26,29879,253,1,1,1
102312,4071,4085,4080,25,27,26,29879,253,1,1,1
103312,4071,4085,4080,25,27,26,31444,253,1,1,1
104314,4071,4085,4080,25,27,26,31444,253,1,1,1
105314,4071,4085,4080,25,27,26,31444,253,1,1,1
106314,4071,4085,4080,25,27,26,31444,253,1,1,1
107314,4077,4091,4086,25,27,26,31444,253,1,1,1
108316,4077,4091,4086,25,27,26,31444,253,1,1,1
