t_ms,min_cell_mv,max_cell_mv,Spread Mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
3274,0,0,,0,-1000,-1000,-1000,65535,0,0,0,0
4274,0,0,,0,-1000,-1000,-1000,5921,252,0,0,1
5274,0,0,,0,-1000,-1000,-1000,8808,252,0,0,1
6274,0,0,,0,-1000,-1000,-1000,10584,252,0,0,1
7274,4074,4083,9,4079,-1000,-1000,-1000,11639,252,1,0,1
8274,4074,4083,9,4079,25,27,26,12371,252,1,1,1
9274,4074,4083,9,4079,25,27,26,12960,252,1,1,1
10274,4074,4083,9,4079,25,27,26,13168,252,1,1,1
11274,4073,4083,10,4079,25,27,26,13402,252,1,1,1
12274,4073,4083,10,4079,25,27,26,17315,253,1,1,1
13274,4073,4083,10,4079,25,27,26,17315,253,1,1,1
14274,4073,4083,10,4079,25,27,26,17315,253,1,1,1
15274,4073,4083,10,4079,25,27,26,17315,253,1,1,1
16274,4073,4083,10,4079,25,27,26,17315,253,1,1,1
17274,4073,4083,10,4079,25,27,26,17315,253,1,1,1
18274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
19274,4073,4083,10,4079,25,27,26,17315,253,1,1,1
20274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
21274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
22274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
23274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
24274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
25274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
26274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
27274,4073,4083,10,4079,25,27,26,17315,253,1,1,1
28274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
29274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
30274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
31274,4073,4083,10,4079,25,27,26,17315,253,1,1,1
32274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
33274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
34274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
35274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
36274,4074,4083,9,4079,25,27,26,17315,253,1,1,1
37274,4073,4083,10,4079,25,26,26,17315,253,1,1,1
38274,4074,4083,9,4079,25,26,26,17315,253,1,1,1
39274,4073,4083,10,4079,25,26,26,17315,253,1,1,1
40274,4073,4082,9,4079,25,26,26,17315,253,1,1,1
41275,4071,4080,9,4077,25,26,26,17315,253,1,1,1
42275,4066,4075,9,4071,25,26,26,17315,253,1,1,1
43275,4066,4075,9,4071,25,26,26,17315,253,1,1,1
44275,4066,4075,9,4071,25,26,26,17315,253,1,1,1
45276,4066,4075,9,4071,25,26,26,17315,253,1,1,1
46276,4066,4075,9,4071,25,26,26,17315,253,1,1,1
