t_ms,apps1_pct,apps2_pct,pedal_pct,desired_torque_nm,power_kw,speed_mph,glv_voltage_v,inverter_temp_c,motor_temp_c,soc_pct,battery_temp_c,bms_flags_hex,bms_fault_code,imd_warn_alarms_hex,pm100_post_faults_hex,pm100_run_faults_hex,fan_duty_pct,rtd_state
3275,8.2,4.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,20,FAULT_BLOCKED
3375,8.2,4.6,0.0,0.0,0.0,0,12.58,0.0,0.0,0,0,0x00,0,0x0200,0x00000000,0x00000000,20,FAULT_BLOCKED
3475,8.3,4.5,0.0,0.0,0.0,0,12.56,40.8,40.0,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3575,8.3,4.6,0.0,0.0,0.0,0,12.17,41.0,40.0,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3675,8.3,4.5,0.0,0.0,0.0,0,12.33,41.1,39.9,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3775,8.3,4.5,0.0,0.0,0.0,0,12.22,41.1,40.3,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3875,8.3,4.6,0.0,0.0,0.0,0,12.21,41.1,39.9,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3975,8.2,4.6,0.0,0.0,0.0,0,12.32,41.1,40.2,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4075,8.3,4.6,0.0,0.0,0.0,0,12.35,41.1,40.2,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4175,8.3,4.6,0.0,0.0,0.0,0,12.36,41.2,40.0,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4275,8.3,4.6,0.0,0.0,0.0,0,12.31,41.2,39.9,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4375,8.3,4.6,0.0,0.0,0.0,0,12.34,41.2,40.2,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
4475,8.3,4.6,0.0,0.0,0.0,0,12.44,41.2,40.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
4575,8.3,4.5,0.0,0.0,0.0,0,12.36,41.2,40.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
4675,8.3,4.6,0.0,0.0,0.0,0,12.36,41.2,40.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
4775,8.3,4.6,0.0,0.0,0.0,0,12.36,41.2,39.6,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
4875,8.2,4.5,0.0,0.0,0.0,0,12.42,41.2,39.8,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
4975,8.3,4.6,0.0,0.0,0.0,0,12.36,41.2,39.9,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5075,8.3,4.5,0.0,0.0,0.0,0,12.39,41.2,39.8,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5175,8.2,4.5,0.0,0.0,0.0,0,12.33,41.2,39.6,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5275,8.2,4.5,0.0,0.0,0.0,0,12.4,41.2,40.3,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5375,8.3,4.5,0.0,0.0,0.0,0,12.38,41.2,39.9,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5475,8.2,4.5,0.0,0.0,0.0,0,12.38,41.2,40.3,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5575,8.3,4.5,0.0,0.0,0.0,0,12.47,41.2,39.5,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5675,8.2,4.5,0.0,0.0,0.0,0,12.44,41.2,39.6,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5775,8.3,4.4,0.0,0.0,0.0,0,12.48,41.2,39.6,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5875,8.1,4.3,0.0,0.0,0.0,0,12.35,41.2,40.2,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
5975,8.1,4.2,0.0,0.0,0.0,0,12.37,41.2,39.6,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6075,8.1,4.2,0.0,0.0,0.0,0,12.45,41.2,39.9,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6175,8.1,4.2,0.0,0.0,0.0,0,12.36,41.2,39.9,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6275,8.1,4.3,0.0,0.0,0.0,0,12.4,41.2,39.5,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6375,8.1,4.2,0.0,0.0,0.0,0,12.37,41.2,39.8,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6475,8.1,4.3,0.0,0.0,0.0,0,12.37,41.2,39.8,50,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6575,8.1,4.3,0.0,0.0,0.0,0,12.34,41.2,39.6,50,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6675,8.1,4.3,0.0,0.0,0.0,0,12.41,41.2,39.5,50,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6775,8.1,4.2,0.0,0.0,0.0,0,12.34,41.2,39.6,50,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6875,8.1,4.2,0.0,0.0,0.0,0,12.39,41.2,39.5,50,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
6975,8.1,4.3,0.0,0.0,0.0,0,12.5,41.2,39.5,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7075,8.1,4.2,0.0,0.0,0.0,0,12.36,41.2,39.9,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7175,8.1,4.2,0.0,0.0,0.0,0,12.3,41.2,39.9,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7275,8.1,4.3,0.0,0.0,0.0,0,12.38,41.2,39.8,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7375,8.1,4.2,0.0,0.0,0.0,0,12.44,41.2,39.6,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7475,8.1,4.3,0.0,0.0,0.0,0,12.4,41.2,39.8,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7575,8.1,4.3,0.0,0.0,0.0,0,12.38,41.2,39.6,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7675,8.1,4.2,0.0,0.0,0.0,0,12.36,41.2,39.8,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7775,8.1,4.3,0.0,0.0,0.0,0,12.32,41.2,39.8,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7875,8.1,4.3,0.0,0.0,0.0,0,12.4,41.2,39.8,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
7975,8.1,4.3,0.0,0.0,0.0,0,12.36,41.2,39.5,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8075,8.1,4.2,0.0,0.0,0.0,0,12.39,41.2,39.6,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8175,8.1,4.3,0.0,0.0,0.0,0,12.38,41.2,39.4,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8275,8.1,4.3,0.0,0.0,0.0,0,12.49,41.2,39.5,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8375,8.1,4.2,0.0,0.0,0.0,0,12.4,41.2,39.8,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8475,8.1,4.3,0.0,0.0,0.0,0,12.4,41.2,39.8,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8575,8.2,4.2,0.0,0.0,0.0,0,12.39,41.2,39.8,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8675,8.1,4.2,0.0,0.0,0.0,0,12.37,41.2,39.4,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
8775,8.1,4.3,0.0,0.0,0.0,0,12.37,41.2,39.4,56,40,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
