t_ms,min_cell_mv,max_cell_mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
3279,0,0,0,-1000,-1000,-1000,65535,0,0,0,0
4279,0,0,0,-1000,-1000,-1000,5212,252,0,0,1
5279,0,0,0,-1000,-1000,-1000,8540,252,0,0,1
6279,0,0,0,-1000,-1000,-1000,10833,252,0,0,1
7279,3725,3778,3773,20,21,20,11921,252,1,1,1
8279,3725,3778,3773,20,21,20,12824,252,1,1,1
9279,3725,3778,3773,20,21,20,13454,252,1,1,1
10279,3725,3778,3773,20,21,20,13918,252,1,1,1
11279,3725,3778,3773,20,21,20,14165,252,1,1,1
12279,3725,3778,3773,20,21,20,18270,253,1,1,1
13279,3725,3778,3773,20,21,20,18270,253,1,1,1
14279,3725,3778,3773,20,21,20,18270,253,1,1,1
15279,3725,3778,3773,20,21,20,18270,253,1,1,1
16279,3725,3778,3773,20,21,20,18270,253,1,1,1
17279,3725,3778,3773,20,21,20,18270,253,1,1,1
18279,3725,3778,3773,20,21,20,18270,253,1,1,1
19279,3725,3778,3773,20,21,20,18270,253,1,1,1
20279,3725,3778,3773,20,21,20,18270,253,1,1,1
21279,3725,3778,3773,20,21,20,18270,253,1,1,1
22279,3724,3778,3772,20,21,20,18270,253,1,1,1
23279,3724,3778,3772,20,21,20,18270,253,1,1,1
24279,3724,3778,3772,20,21,20,18270,253,1,1,1
25279,3724,3778,3772,20,21,20,18270,253,1,1,1
26279,3724,3778,3772,20,21,20,18270,253,1,1,1
27279,3725,3778,3773,20,21,20,18270,253,1,1,1
28279,3725,3778,3773,20,21,20,18270,253,1,1,1
29279,3725,3778,3773,20,21,20,18270,253,1,1,1
30279,3725,3778,3773,20,21,20,18270,253,1,1,1
31279,3725,3778,3773,20,21,20,18270,253,1,1,1
32279,3725,3778,3773,20,21,20,18270,253,1,1,1
33279,3725,3778,3773,20,21,20,18270,253,1,1,1
34279,3725,3778,3773,20,21,20,18270,253,1,1,1
35279,3725,3778,3773,20,21,20,18270,253,1,1,1
36279,3725,3778,3773,20,21,20,18270,253,1,1,1
37279,3724,3777,3772,20,21,20,18270,253,1,1,1
38279,3724,3777,3771,20,21,20,18270,253,1,1,1
39279,3724,3777,3771,20,21,20,18270,253,1,1,1
40279,3724,3777,3771,20,21,20,18270,253,1,1,1
41279,3724,3777,3771,20,21,20,18270,253,1,1,1
42279,3722,3776,3770,20,21,20,18270,253,1,1,1
43279,3722,3776,3770,20,21,20,18270,253,1,1,1
44279,3722,3776,3770,20,21,20,18270,253,1,1,1
45279,3722,3776,3770,20,21,20,18270,253,1,1,1
46279,3722,3776,3770,20,21,20,18270,253,1,1,1
47279,3723,3777,3771,20,21,20,18270,253,1,1,1
48279,3723,3777,3771,20,21,20,18270,253,1,1,1
49279,3723,3777,3771,20,21,20,18270,253,1,1,1
50279,3723,3777,3771,20,21,20,18270,253,1,1,1
51279,3723,3777,3771,20,21,20,18270,253,1,1,1
52279,3723,3777,3771,20,21,20,18270,253,1,1,1
53279,3723,3777,3771,20,21,20,18270,253,1,1,1
54279,3723,3777,3771,20,21,20,18270,253,1,1,1
55279,3723,3777,3771,20,21,20,23489,253,1,1,1
56279,3723,3777,3771,20,21,20,23489,253,1,1,1
57279,3723,3777,3771,20,21,20,23489,253,1,1,1
58279,3723,3777,3771,20,21,20,23489,253,1,1,1
59279,3723,3776,3771,20,21,20,23489,253,1,1,1
60279,3723,3776,3771,20,21,20,23489,253,1,1,1
61279,3723,3777,3771,20,21,20,23489,253,1,1,1
62279,3723,3776,3771,20,21,20,23489,253,1,1,1
63279,3723,3776,3771,20,21,20,23489,253,1,1,1
64279,3723,3776,3771,20,21,20,23489,253,1,1,1
65279,3723,3776,3771,20,21,20,23489,253,1,1,1
66279,3723,3776,3771,20,21,20,27417,253,1,1,1
67280,3723,3776,3771,20,21,20,27417,253,1,1,1
68280,3723,3776,3771,20,21,20,27417,253,1,1,1
69280,3723,3776,3771,20,21,20,27417,253,1,1,1
70280,3723,3776,3771,20,21,20,27417,253,1,1,1
71281,3723,3776,3771,20,21,20,27417,253,1,1,1
72281,3723,3776,3771,20,21,20,27417,253,1,1,1
73281,3723,3776,3771,20,21,20,27417,253,1,1,1
74281,3723,3776,3771,20,21,20,27417,253,1,1,1
75281,3723,3776,3771,20,21,20,27417,253,1,1,1
76281,3723,3776,3771,20,21,20,27417,253,1,1,1
77292,3723,3776,3771,20,21,20,31656,253,1,1,1
78292,3718,3771,3766,20,21,20,31656,253,1,1,1
79293,3720,3773,3767,20,21,20,31656,253,1,1,1
80293,3718,3771,3765,20,21,20,31656,253,1,1,1
81294,3710,3763,3758,20,21,20,31656,253,1,1,1
82294,3710,3767,3761,20,21,20,31656,253,1,1,1
83296,3710,3767,3761,20,21,20,31656,253,1,1,1
84296,3710,3767,3761,20,21,20,31656,253,1,1,1
85297,3710,3767,3761,20,21,20,34665,253,1,1,1
86297,3710,3767,3761,20,21,20,34665,253,1,1,1
87297,3722,3775,3769,20,21,20,34665,253,1,1,1
88297,3722,3775,3770,20,21,20,34665,253,1,1,1
89309,3722,3775,3770,20,21,20,34665,253,1,1,1
90309,3723,3776,3771,20,21,20,34665,253,1,1,1
