t_ms,apps1_pct,apps2_pct,pedal_pct,desired_torque_nm,power_kw,speed_mph,glv_voltage_v,inverter_temp_c,motor_temp_c,soc_pct,battery_temp_c,bms_flags_hex,bms_fault_code,imd_warn_alarms_hex,pm100_post_faults_hex,pm100_run_faults_hex,fan_duty_pct,rtd_state
2261,0.0,3.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,20,FAULT_BLOCKED
2361,0.0,3.5,0.0,0.0,0.0,0,12.75,0.0,18.3,0,0,0x00,0,0x0000,0x00000000,0x00000000,20,FAULT_BLOCKED
2461,0.0,3.5,0.0,0.0,0.0,0,12.76,0.0,18.4,0,0,0x00,0,0x0000,0x00000000,0x00000000,20,FAULT_BLOCKED
2561,0.0,3.5,0.0,0.0,0.0,0,12.8,17.4,18.4,0,0,0x00,0,0x0000,0x00000000,0x00000000,20,FAULT_BLOCKED
2661,0.0,3.5,0.0,0.0,0.0,0,12.8,17.4,18.2,0,0,0x00,0,0x0000,0x00000000,0x00000000,20,FAULT_BLOCKED
2761,0.0,3.5,0.0,0.0,0.0,0,12.79,17.3,18.6,0,0,0x00,0,0x0200,0x00000000,0x00000000,20,FAULT_BLOCKED
2861,0.0,3.6,0.0,0.0,0.0,0,12.77,17.3,18.8,0,0,0x00,0,0x0200,0x00000000,0x00000000,20,FAULT_BLOCKED
2961,0.0,3.5,0.0,0.0,0.0,0,12.79,17.4,18.6,0,0,0x00,0,0x0200,0x00000000,0x00000000,20,FAULT_BLOCKED
3061,0.0,3.5,0.0,0.0,0.0,0,12.76,17.3,18.6,0,0,0x00,0,0x0200,0x00000000,0x00000000,20,FAULT_BLOCKED
3161,0.0,3.5,0.0,0.0,0.0,0,12.77,17.3,18.6,0,0,0x00,0,0x0200,0x00000000,0x00000000,20,FAULT_BLOCKED
3261,0.0,3.5,0.0,0.0,0.0,0,12.78,17.3,18.7,0,0,0x00,0,0x0200,0x00000000,0x00000000,20,FAULT_BLOCKED
3361,0.0,3.5,0.0,0.0,0.0,0,12.76,17.4,18.6,0,0,0x00,0,0x0200,0x00000000,0x00000000,20,FAULT_BLOCKED
3461,0.0,3.5,0.0,0.0,0.0,0,12.76,17.4,18.7,0,0,0x00,0,0x0200,0x00000000,0x00000000,20,FAULT_BLOCKED
