t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
3288,0.3265,-0.0276,0.8618,-6.56,7.97,-0.02,29.29
3298,0.3281,-0.0253,0.8671,-6.66,7.92,-0.05,29.24
3308,0.3259,-0.0239,0.8639,-6.73,7.91,-0.08,29.26
3318,0.3304,-0.025,0.8668,-6.75,8.03,-0.09,29.25
3328,0.3298,-0.0238,0.8618,-6.67,7.95,-0.11,29.26
3338,0.3286,-0.0245,0.8671,-6.58,7.95,0.02,29.28
3349,0.3292,-0.0234,0.8607,-6.64,7.98,0.0,29.22
3359,0.3262,-0.0247,0.8662,-6.76,7.94,-0.03,29.25
3369,0.325,-0.0266,0.8632,-6.64,7.91,-0.09,29.26
3379,0.3273,-0.0245,0.861,-6.63,7.94,-0.06,29.27
3389,0.3293,-0.0237,0.8628,-6.75,7.98,0.05,29.27
3399,0.3275,-0.025,0.8656,-6.66,8.02,-0.03,29.24
3409,0.3292,-0.0264,0.8655,-6.64,7.98,-0.06,29.28
3419,0.3292,-0.0276,0.8687,-6.7,7.97,-0.06,29.29
3429,0.3315,-0.024,0.8645,-6.72,7.91,-0.09,29.26
3439,0.3284,-0.0254,0.8644,-6.66,7.97,-0.09,29.27
3449,0.3271,-0.026,0.8624,-6.7,7.98,0.02,29.25
3459,0.3308,-0.0249,0.8622,-6.69,7.86,-0.06,29.28
3469,0.328,-0.0272,0.8645,-6.67,7.92,-0.02,29.29
3479,0.3282,-0.0243,0.8596,-6.79,7.86,-0.06,29.28
3489,0.3285,-0.0232,0.8651,-6.75,7.91,-0.05,29.27
3499,0.3258,-0.0239,0.8666,-6.73,7.97,-0.03,29.29
3509,0.329,-0.0255,0.8646,-6.7,8.0,-0.08,29.28
3519,0.327,-0.0283,0.8676,-6.56,8.05,-0.09,29.27
3529,0.3278,-0.0253,0.8662,-6.67,8.05,-0.06,29.27
3539,0.3269,-0.025,0.8663,-6.7,7.89,-0.02,29.28
3549,0.327,-0.027,0.8611,-6.67,8.02,-0.02,29.27
3559,0.3279,-0.0292,0.8627,-6.73,7.94,-0.08,29.28
3569,0.3285,-0.0259,0.8672,-6.7,7.91,0.03,29.29
3579,0.3271,-0.0277,0.865,-6.72,7.92,0.03,29.3
3590,0.328,-0.0284,0.8646,-6.67,7.94,-0.08,29.28
3600,0.3295,-0.0256,0.8679,-6.6,7.97,-0.05,29.3
3610,0.3291,-0.0247,0.8645,-6.69,8.02,0.0,29.32
3620,0.3284,-0.0271,0.8641,-6.73,7.97,-0.05,29.28
3630,0.3281,-0.025,0.8646,-6.73,7.97,-0.09,29.3
3640,0.3279,-0.0262,0.8632,-6.66,7.92,0.0,29.26
3650,0.3271,-0.0249,0.8633,-6.75,7.94,0.02,29.3
3660,0.3278,-0.0243,0.8618,-6.63,7.95,0.02,29.29
3670,0.3275,-0.0259,0.8651,-6.69,8.0,-0.08,29.28
3680,0.3246,-0.0253,0.8623,-6.72,7.94,-0.08,29.32
