t_ms,apps1_pct,apps2_pct,pedal_pct,desired_torque_nm,power_kw,speed_mph,glv_voltage_v,inverter_temp_c,motor_temp_c,soc_pct,battery_temp_c,bms_flags_hex,bms_fault_code,imd_warn_alarms_hex,pm100_post_faults_hex,pm100_run_faults_hex,fan_duty_pct,rtd_state
3277,7.5,4.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,20,FAULT_BLOCKED
3377,7.6,4.7,0.0,0.0,0.0,0,11.98,0.0,0.0,0,0,0x00,0,0x0200,0x00000000,0x00000000,20,FAULT_BLOCKED
3477,7.7,4.6,0.0,0.0,0.0,0,11.97,37.1,48.6,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3577,7.7,4.6,0.0,0.0,0.0,0,11.66,37.2,48.6,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3677,7.7,4.6,0.0,0.0,0.0,0,11.71,37.2,48.6,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3777,7.6,4.6,0.0,0.0,0.0,0,11.74,37.2,48.8,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3877,7.7,4.6,0.0,0.0,0.0,0,11.71,37.2,48.8,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
3977,7.7,4.6,0.0,0.0,0.0,0,11.84,37.2,48.8,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4077,7.6,4.6,0.0,0.0,0.0,0,11.81,37.2,48.4,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4177,7.7,4.6,0.0,0.0,0.0,0,11.7,37.2,48.6,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4277,7.6,4.6,0.0,0.0,0.0,0,11.91,37.2,48.4,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4377,7.7,4.6,0.0,0.0,0.0,0,11.76,37.1,48.5,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4477,7.6,4.6,0.0,0.0,0.0,0,11.84,37.1,48.4,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4577,7.6,4.6,0.0,0.0,0.0,0,11.99,37.1,48.4,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4677,7.6,4.6,0.0,0.0,0.0,0,11.82,37.0,48.4,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4777,7.6,4.6,0.0,0.0,0.0,0,11.8,37.0,48.4,0,0,0x00,0,0x0200,0x00000000,0x00000000,100,FAULT_BLOCKED
4877,7.6,4.6,0.0,0.0,0.0,0,11.84,37.0,48.5,0,0,0x00,0,0x0000,0x00000000,0x00000000,100,FAULT_BLOCKED
