t_ms,raw_apps1,raw_apps2,raw_bse1,raw_bse2,raw_hv_current,commanded_torque_nm,motor_rpm,bus_voltage_v,bus_current_a,braking,hard_braking,bspc_active,apps_plausible,rtd_latched,drive_mode_d,bms_fault,imd_fault,pm100_fault,bms_timeout,imd_can_timeout,contactors_closed,bspd_gpio_ok,imd_gpio_ok,bms_gpio_ok
3272,2180,2258,445,438,1914,0.0,0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0
3283,2178,2259,444,440,1909,0.0,0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
3293,2180,2258,444,440,1908,0.0,0,1.1,0.0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
3303,2181,2259,445,439,1912,0.0,0,0.6,0.0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
3313,2181,2259,448,440,1919,0.0,0,1.0,0.0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
3323,2180,2258,443,440,1917,0.0,0,1.2,0.0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
3333,2181,2259,445,440,1913,0.0,0,1.2,0.0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
3343,2180,2259,445,441,1916,0.0,0,0.8,0.0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
3353,2182,2258,447,440,1923,0.0,0,0.9,0.0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
3363,2181,2259,445,443,1920,0.0,0,0.8,0.0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
3373,2180,2258,445,439,1914,0.0,0,0.9,0.0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
3383,2181,2258,441,440,1910,0.0,0,0.8,0.0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
3393,2121,2207,354,351,216,0.0,0,0.8,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3403,2126,2212,355,349,359,0.0,0,0.9,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3413,2120,2208,344,342,173,0.0,0,0.8,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3423,2122,2208,353,347,237,0.0,0,0.6,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3433,2122,2208,352,344,248,0.0,0,0.6,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3443,2126,2211,356,351,376,0.0,0,1.2,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3453,2125,2210,354,349,350,0.0,0,1.2,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3463,2128,2212,359,353,408,0.0,0,0.6,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3473,2123,2209,349,347,282,0.0,0,1.0,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3484,2134,2217,366,361,530,0.0,0,0.8,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3494,2129,2211,356,353,388,0.0,0,0.9,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3504,2130,2214,360,357,465,0.0,0,0.9,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3514,2135,2217,369,361,540,0.0,0,0.9,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
3524,2135,2221,374,363,579,0.0,0,0.9,0.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
