t_ms,min_cell_mv,max_cell_mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
3274,0,0,0,-1000,-1000,-1000,65535,0,0,0,0
4274,0,0,0,-1000,-1000,-1000,4511,252,0,0,1
5274,0,0,0,-1000,-1000,-1000,8241,252,0,0,1
6274,0,0,0,-1000,-1000,-1000,10746,252,0,0,1
7274,3728,3752,3746,-1000,-1000,-1000,12416,252,1,0,1
8275,3729,3751,3746,35,36,35,13492,252,1,1,1
9275,3729,3751,3746,35,36,35,14078,252,1,1,1
10275,3729,3751,3746,35,36,35,14398,252,1,1,1
11275,3729,3751,3746,35,36,35,14726,252,1,1,1
12275,3729,3751,3746,35,36,35,19088,253,1,1,1
13275,3729,3751,3746,35,36,35,19088,253,1,1,1
14275,3729,3751,3746,35,36,35,19088,253,1,1,1
15275,3729,3751,3746,35,36,35,19088,253,1,1,1
16275,3729,3751,3746,35,36,35,19088,253,1,1,1
17275,3729,3751,3746,35,36,35,19088,253,1,1,1
18275,3729,3751,3746,35,36,35,19088,253,1,1,1
19275,3729,3751,3746,35,36,35,19088,253,1,1,1
20275,3729,3751,3746,35,36,35,19088,253,1,1,1
21275,3729,3751,3746,35,36,35,19088,253,1,1,1
22275,3729,3751,3746,35,36,35,19088,253,1,1,1
23275,3729,3751,3746,35,36,35,19088,253,1,1,1
24275,3729,3751,3746,35,36,35,19088,253,1,1,1
25275,3729,3751,3746,35,36,35,19088,253,1,1,1
26275,3729,3751,3746,35,36,35,19088,253,1,1,1
27275,3728,3751,3746,35,36,35,19088,253,1,1,1
28275,3728,3751,3746,35,36,35,19088,253,1,1,1
29275,3729,3751,3746,35,36,35,19088,253,1,1,1
30275,3729,3751,3746,35,36,35,19088,253,1,1,1
31275,3729,3751,3746,35,36,35,19088,253,1,1,1
32275,3729,3751,3746,35,36,35,19088,253,1,1,1
33275,3729,3751,3746,35,36,35,19088,253,1,1,1
34275,3729,3751,3746,35,36,35,19088,253,1,1,1
35275,3729,3751,3746,35,36,35,19088,253,1,1,1
36275,3729,3751,3746,35,36,35,19088,253,1,1,1
37276,3728,3751,3746,35,36,35,19088,253,1,1,1
38276,3729,3751,3746,35,36,35,19088,253,1,1,1
39276,3728,3751,3746,35,36,35,19088,253,1,1,1
40276,3728,3751,3746,35,36,35,19088,253,1,1,1
41276,3729,3751,3746,35,36,35,19088,253,1,1,1
42276,3729,3751,3746,35,36,35,19088,253,1,1,1
43276,3729,3751,3746,35,36,35,19088,253,1,1,1
44276,3729,3751,3746,35,36,35,19088,253,1,1,1
45276,3729,3751,3746,35,36,35,19088,253,1,1,1
46276,3729,3751,3746,35,36,35,19088,253,1,1,1
47276,3729,3751,3746,35,36,35,19088,253,1,1,1
48276,3728,3751,3746,35,36,35,19088,253,1,1,1
49276,3728,3751,3746,35,36,35,19088,253,1,1,1
50276,3728,3751,3746,35,36,35,19088,253,1,1,1
51276,3729,3752,3746,35,36,35,19088,253,1,1,1
52276,3729,3751,3746,35,36,35,19088,253,1,1,1
53276,3729,3751,3746,35,36,35,23701,253,1,1,1
54276,3729,3751,3746,35,36,35,23701,253,1,1,1
55278,3729,3751,3746,35,36,35,23701,253,1,1,1
56278,3729,3751,3746,35,36,35,23701,253,1,1,1
57278,3729,3751,3746,35,36,35,23701,253,1,1,1
58278,3729,3751,3746,35,36,35,23701,253,1,1,1
59278,3729,3751,3746,35,36,35,23701,253,1,1,1
60278,3729,3751,3746,35,36,35,23701,253,1,1,1
61278,3728,3751,3746,35,36,35,23701,253,1,1,1
62278,3728,3751,3746,35,36,35,23701,253,1,1,1
63278,3728,3751,3746,35,36,35,23701,253,1,1,1
64278,3728,3751,3746,35,36,35,28522,253,1,1,1
65278,3728,3751,3746,35,36,35,28522,253,1,1,1
66278,3728,3751,3746,35,36,35,28522,253,1,1,1
67278,3728,3751,3746,35,36,35,28522,253,1,1,1
68278,3728,3751,3746,35,36,35,28522,253,1,1,1
69278,3729,3751,3746,35,36,35,28522,253,1,1,1
70278,3728,3752,3746,35,36,35,28522,253,1,1,1
71278,3729,3751,3746,35,36,35,28522,253,1,1,1
72278,3728,3751,3746,35,36,35,28522,253,1,1,1
73278,3728,3751,3746,35,36,35,28522,253,1,1,1
74278,3728,3751,3746,35,36,35,28522,253,1,1,1
75278,3728,3751,3746,35,36,35,33875,253,1,1,1
76278,3728,3751,3746,35,36,35,33875,253,1,1,1
77278,3728,3751,3746,35,36,35,33875,253,1,1,1
78278,3728,3751,3746,35,36,35,33875,253,1,1,1
79278,3728,3751,3746,35,36,35,33875,253,1,1,1
80278,3728,3751,3746,35,36,35,33875,253,1,1,1
81278,3729,3751,3746,35,36,35,33875,253,1,1,1
82278,3728,3751,3746,35,36,35,33875,253,1,1,1
83278,3728,3751,3746,35,36,35,33875,253,1,1,1
84278,3728,3751,3746,35,36,35,33875,253,1,1,1
85278,3728,3751,3746,35,36,35,33875,253,1,1,1
86278,3728,3751,3746,35,36,35,39229,253,1,1,1
87278,3729,3751,3746,35,36,35,39229,253,1,1,1
88278,3728,3751,3746,35,36,35,39229,253,1,1,1
89278,3728,3751,3746,35,36,35,39229,253,1,1,1
90278,3729,3752,3746,35,36,35,39229,253,1,1,1
91279,3728,3751,3746,35,36,35,39229,253,1,1,1
92279,3728,3751,3746,35,36,35,39229,253,1,1,1
93279,3728,3751,3746,35,36,35,39229,253,1,1,1
94279,3728,3751,3746,35,36,35,39229,253,1,1,1
95279,3728,3751,3746,35,36,35,39229,253,1,1,1
96279,3728,3751,3746,35,36,35,39969,253,1,1,1
97279,3728,3751,3746,35,36,35,39969,253,1,1,1
98279,3728,3751,3746,35,36,35,39969,253,1,1,1
99279,3729,3751,3746,35,36,35,39969,253,1,1,1
100279,3728,3751,3746,35,36,35,39969,253,1,1,1
101279,3728,3751,3746,35,36,35,39969,253,1,1,1
102279,3729,3751,3746,35,36,35,39969,253,1,1,1
103279,3729,3751,3746,35,36,35,39969,253,1,1,1
104279,3729,3751,3746,35,36,35,39969,253,1,1,1
105279,3729,3751,3746,35,36,35,39969,253,1,1,1
106279,3729,3751,3746,35,36,35,39969,253,1,1,1
107279,3729,3751,3746,35,36,35,40500,254,1,1,1
108279,3729,3751,3746,35,36,35,40500,254,1,1,1
109279,3728,3751,3746,35,36,35,40500,254,1,1,1
110279,3729,3751,3746,35,36,35,40500,254,1,1,1
111279,3728,3751,3746,35,36,35,40500,254,1,1,1
112279,3729,3751,3746,35,36,35,40500,254,1,1,1
113279,3729,3751,3746,35,36,35,40500,254,1,1,1
114279,3729,3751,3746,35,36,35,40500,254,1,1,1
115279,3729,3751,3746,35,36,35,40500,254,1,1,1
116279,3729,3751,3746,35,36,35,40500,254,1,1,1
117279,3729,3751,3746,35,36,35,40500,254,1,1,1
118279,3729,3751,3746,35,36,35,40500,254,1,1,1
119279,3728,3751,3746,35,36,35,40500,254,1,1,1
120279,3728,3751,3746,35,36,35,40500,254,1,1,1
